Model,Reference,Protocol,Brand,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidrectionnal,Selected,Number,Lens,Network,Base
AW-HE120,AWHE120,Panasonic PTZ,Panasonic,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
AW-HE130,AWHE130,Panasonic PTZ,Panasonic,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
AW-HE40,AWHE40,Not still documented,Panasonic,,,Unknown,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN wired,Fixed
AW-HE42,AWHE42,Panasonic PTZ,Panasonic,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
AW-HE50,AWHE50,Panasonic PTZ,Panasonic,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
AW-HE60,AWHE60,Panasonic PTZ,Panasonic,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
AW-HE70,AWHE70,Panasonic PTZ,Panasonic,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
AW-HR140,AWHR140,Panasonic PTZ,Panasonic,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
AW-UE100,AWUE100,Panasonic PTZ,Panasonic,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
AW-UE150,AWUE150,Panasonic PTZ,Panasonic,,,PTZ,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Panasonic/PanasonicPTZ,,500.0,2.0,,False,0,Fixed,LAN wired,Fixed
