Model,Reference,Protocol,Brand,LensMount,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Selected,Number,Lens,Network,Base,CameraLensCategory,lensControl,lensType,lensMotor,LensTypes
2KMINIRS,V2KMiniRS,Not still documented,IOI,C-Mount,https://www.ioindustries.com/2ksdi-mini-features,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
4KMINI,V4KMini,Not still documented,IOI,C-Mount,https://www.ioindustries.com/4ksdi-mini-features,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
4KMINIRS,V4KMiniRS,Not still documented,IOI,C-Mount,https://www.ioindustries.com/4ksdi-mini-features,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
8KSDI,V8KSDI,Not still documented,IOI,C-Mount,https://www.ioindustries.com/8ksdi-features,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
JVC GY-HM850,JVC,JVC IP,JVC,No-Xchange-Motorized,https://fr.jvc.com/pro/ccr/eng/GY-HM850RE/,,Handheld Camcorder,JVC USB-to-IP,https://support.cyanview.com/docs/Integrations/JVC/JVCCamcorder,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed,IZF Integrated,IZF,Camera Integrated,No extra motors,
VC-A SERIES,Lumens,Not still documented,Lumens,No-Xchange-Motorized,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
VC-A71,LumensVCA71PN,Not still documented,Lumens,No-Xchange-Motorized,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
VC-BC 601,LumensVCBC601P,Not still documented,Lumens,No-Xchange-Motorized,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
VC-BC 701,LumensVCBC701P,Not still documented,Lumens,No-Xchange-Motorized,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed,TBD,No Need,Manual,No extra motors,
CV225,MarshallCV225,Marshall Breakout,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV225-MB.php,,Minicam,CY-CBL-6P-PFAN,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV226,MarshallCV226,Marshall Breakout,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV226.php,,Minicam,CY-CBL-6P-PFAN,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV345,MarshallCV345,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/discontinued/cameras/CV345.php,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV355-10X,MarshallCV35510X,Marshall Ethernet,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV355-10X-IP/,,Minicam,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV355-30X,MarshallCV35530X,Marshall Ethernet,Marshall,No-Xchange-Motorized,https://marshall-usa.com/cameras/CV355-10X-IP/,,Minicam,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV366,MarshallCV366,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV366/,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV368,MarshallCV368,Marshall Hirose,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV368/,,Minicam,CY-CBL-6P-MARS-02,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,No,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV370,MarshallCV370,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV370/,,Minicam,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
CV374,MarshallCV374,Marshall Ethernet,Marshall,MFT-Mount,https://marshall-usa.com/cameras/CV374/,,Minicam,Ethernet-RJ45,https://support.cyanview.com/docs/Integrations/Marshall/MarshallMinicam,,500.0,1.0,,False,0,Fixed,LAN Wired,Fixed,Fixed Lens,No Need,Manual,No extra motors,
