Reference,Protocol,Brand,LensMount,ManufacturerURL,Remark,Type,Cable,SupportURL,Message,MaxDelayToComplete,ControlCoverage,Bidirectionnal,Selected,Number,Lens,Network,Base
AtomOne SSM500 B4,Dreamchip SSM,DreamChip,C-Mount,https://www.atom-one.de,,Slow Motion,CY-CBL-6P-DCHIP-03,https://support.cyanview.com/docs/Integrations/Dreamchip/ssm500,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
AtomOne SSM500-IP,Dreamchip SSM IP,DreamChip,B4-Mount,https://www.atom-one.de,,Slow Motion,Ethernet-RJ45,Planned to be documented  202407,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
AtomOne SSM500-IP B4,Dreamchip SSM IP,DreamChip,C-Mount,https://www.atom-one.de,,Slow Motion,Ethernet-RJ45,Planned to be documented  202407,,500.0,5.0,,False,0,Fixed,LAN Wired,Fixed
GrassValley,Not still documented,GrassValley,B4-Mount,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
MojoPro,Not still documented,Haivision,No-Xchange-Manual,https://www.haivision.com/products/mojopro-mobile-journalism/,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
Hitachi SK-HD1000,Hitachi SH HD 1xxx,Hitachi,B4-Mount,https://www.hitachikokusai.us/BroadcastandProfessionalCameras/SK-HD1000.html,,System,Ethernet-RJ45,Planned to be documented  202407,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
Hitachi SK-HD1300,Hitachi SH HD 1xxx,Hitachi,B4-Mount,https://www.hitachikokusai.us/BroadcastandProfessionalCameras/SK-HD1300.html,,System,Ethernet-RJ45,Planned to be documented  202407,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
Hitachi SK-HD1500,Hitachi SH HD 1xxx,Hitachi,B4-Mount,https://www.gravitymedia.com/product/hitachi-sk-hd1500-hd-slow-motion-production-camera/,,System,Ethernet-RJ45,Planned to be documented  202407,,500.0,2.0,,False,0,Fixed,LAN Wired,Fixed
HitachiDKIP,Not still documented,Hitachi,B4-Mount,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
HitachiDKSerial,Not still documented,Hitachi,B4-Mount,,,TBD,Undefined,https://support.cyanview.com/docs/Integrations,,,,,False,0,Fixed,LAN Wired,Fixed
